Kod Sekolah,Bil,Peringkat Sekolah,PPD,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Alamat
YBB1314,9024,Rendah,PPD PADAWAN,SK PELAMAN SIDUNUK,D/A PPDK PADAWAN LORONG 17,OFF JALAN KAPOR,93150,KUCHING,SARAWAK,60138290053,TIADA,,,,"SK PELAMAN SIDUNUK, D/A PPDK PADAWAN LORONG 17, OFF JALAN KAPOR, 93150, KUCHING"
YBB1315,9025,Rendah,PPD PADAWAN,SK SIBU LAUT,D/A PPDK PADAWAN, LORONG 17, OFF JALAN KAPOR,93150,KUCHING,SARAWAK,168640605,TIADA,,,"SK SIBU LAUT, D/A PPDK PADAWAN,  LORONG 17,  OFF JALAN KAPOR, 93150"
YBB1316,9026,Rendah,PPD PADAWAN,SK SITANG PETAG,D/A PPD  PADAWAN,LORONG 17, OFF JALAN KAPOR,93150,KUCHING,SARAWAK,138044050,TIADA,,,"SK SITANG PETAG, D/A PPD  PADAWAN, LORONG 17,  OFF JALAN KAPOR, 93150"
YBB1317,9027,Rendah,PPD PADAWAN,SK PATUNG,D/A PPD PADAWAN, LORONG 17, OFF JALAN KAPOR, SUNGAI MAONG HILIR,93150,KUCHING,SARAWAK,82862913,82862596,,"SK PATUNG, D/A PPD PADAWAN,  LORONG 17,  OFF JALAN KAPOR,  SUNGAI MAONG HILIR"
YBB1318,9028,Rendah,PPD PADAWAN,SK KAMBUG,D/A PPDK PADAWAN, LORONG 17, OFF JALAN KAPOR,93150,KUCHING,SARAWAK,,TIADA,,,"SK KAMBUG, D/A PPDK PADAWAN,  LORONG 17,  OFF JALAN KAPOR, 93150"
YBB1319,9029,Rendah,PPD PADAWAN,SK PANGKALAN AMPAT,D/A PPDK PADAWAN, LORONG 17, OFF JALAN KAPOR,93150,KUCHING,SARAWAK,TIADA,TIADA,,,"SK PANGKALAN AMPAT, D/A PPDK PADAWAN,  LORONG 17,  OFF JALAN KAPOR, 93150"
YBB1320,9030,Rendah,PPD PADAWAN,SK TABA SAIT,OFF JLN. BORNEO HEIGHTS, ULU SUNGAI BENGOH,93250,KUCHING,SARAWAK,138411115,82245789,,,,"SK TABA SAIT, OFF JLN. BORNEO HEIGHTS,  ULU SUNGAI BENGOH, 93250, KUCHING"
YBB1322,9031,Rendah,PPD PADAWAN,SK SEJIJAK,D/A PPD PADAWAN, LRG 17 OFF JLN KAPOR.,93150,KUCHING,SARAWAK,82370410,82370410,,,,"SK SEJIJAK, D/A PPD PADAWAN,  LRG 17 OFF JLN KAPOR., 93150, KUCHING"
YBB1401,9032,Rendah,PPD LUNDU,SK SEMATAN,D/A PEJABAT PENDIDIKAN DAERAH  LUNDU,94500,LUNDU,SARAWAK,82711860,82711860,,,,,"SK SEMATAN, D/A PEJABAT PENDIDIKAN DAERAH  LUNDU, 94500, LUNDU, SARAWAK"
YBB1402,9033,Rendah,PPD LUNDU,SK PUEH,D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK PUEH, D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
