Kod Sekolah,Bil,Peringkat Sekolah,PPD,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Alamat
NEB1081,5997,Menengah,PPD KUALA PILAH,SMK TUANKU MUHAMMAD,KM 2 JALAN TAMPIN,72000,KUALA PILAH,NEGERI SEMBILAN,64811030,64819043,,,,,"SMK TUANKU MUHAMMAD, KM 2 JALAN TAMPIN, 72000, KUALA PILAH, NEGERI SEMBILAN"
NEB1082,5998,Menengah,PPD KUALA PILAH,SMK TUNKU KURSHIAH,KM2 , JLN TAMPIN,72000,KUALA PILAH,NEGERI SEMBILAN,64811123,64841348,,,,"SMK TUNKU KURSHIAH, KM2 ,  JLN TAMPIN, 72000, KUALA PILAH"
NEB1083,5999,Menengah,PPD KUALA PILAH,SMK CHUNG HUA,KM2 JLN TAMPIN, KUALA PILAH,72000,KUALA PILAH,NEGERI SEMBILAN,64811179,64819523,,,,"SMK CHUNG HUA, KM2 JLN TAMPIN,  KUALA PILAH, 72000, KUALA PILAH"
NEB2054,6000,Menengah,PPD PORT DICKSON,SMK TINGGI PORT DICKSON,KM3,JALAN PANTAI,,71000,PORT DICKSON,NEGERI SEMBILAN,66471295,66477307,,,"SMK TINGGI PORT DICKSON, KM3, JALAN PANTAI, 71000"
NEB3036,6001,Menengah,PPD REMBAU,SMK UNDANG REMBAU,JALAN BATU HAMPAR,71309,REMBAU,NEGERI SEMBILAN,66851244,66851103,,,,,"SMK UNDANG REMBAU, JALAN BATU HAMPAR, 71309, REMBAU, NEGERI SEMBILAN"
NEB4089,6002,Menengah,PPD SEREMBAN,SMK KING GEORGE V,JLN ZAABA,70100,SEREMBAN,NEGERI SEMBILAN,67623598,67641214,,,,,"SMK KING GEORGE V, JLN ZAABA, 70100, SEREMBAN, NEGERI SEMBILAN"
NEB4090,6003,Menengah,PPD SEREMBAN,SMK ST PAUL,JLN TAN SRI MANICKAVASAGAM,70200,SEREMBAN,NEGERI SEMBILAN,67612931,67623236,,,,,"SMK ST PAUL, JLN TAN SRI MANICKAVASAGAM, 70200, SEREMBAN, NEGERI SEMBILAN"
NEB4091,6004,Menengah,PPD SEREMBAN,SMK METHODIST ACS (M),JALAN LINTANG,70000,SEREMBAN,NEGERI SEMBILAN,67620153,67613221,,,,,"SMK METHODIST ACS (M), JALAN LINTANG, 70000, SEREMBAN, NEGERI SEMBILAN"
NEB4092,6005,Menengah,PPD SEREMBAN,SMK PUTERI,JALAN LABU LAMA,70200,SEREMBAN,NEGERI SEMBILAN,67655600,67671255,,,,,"SMK PUTERI, JALAN LABU LAMA, 70200, SEREMBAN, NEGERI SEMBILAN"
NEB4093,6006,Menengah,PPD SEREMBAN,SMK SERI AMPANGAN,JALAN KUALA PILAH,70400,SEREMBAN,NEGERI SEMBILAN,67620377,67644757,,,,,"SMK SERI AMPANGAN, JALAN KUALA PILAH, 70400, SEREMBAN, NEGERI SEMBILAN"
NEB4094,6007,Menengah,PPD SEREMBAN,SMK CHAN WA,219-220 JALAN TEMIANG,70200,SEREMBAN,NEGERI SEMBILAN,67620144,67648185,,,,,"SMK CHAN WA, 219-220 JALAN TEMIANG, 70200, SEREMBAN, NEGERI SEMBILAN"
NEB4095,6008,Menengah,PPD SEREMBAN,SMK TUNKU AMPUAN NAJIHAH,JLN HAN HUI FOONG,70200,SEREMBAN,NEGERI SEMBILAN,67622743,67671486,,,,,"SMK TUNKU AMPUAN NAJIHAH, JLN HAN HUI FOONG, 70200, SEREMBAN, NEGERI SEMBILAN"
NEB4096,6009,Menengah,PPD SEREMBAN,KOLEJ TUNKU KURSHIAH (SMBP),BANDAR ENSTEK,71760,SEREMBAN,NEGERI SEMBILAN,67979800,67979801,,,,,"KOLEJ TUNKU KURSHIAH (SMBP), BANDAR ENSTEK, 71760, SEREMBAN, NEGERI SEMBILAN"
NEB4097,6010,Menengah,PPD SEREMBAN,SMK DATO SHEIKH AHMAD,JALAN TUNKU KURSHIAH,70400,SEREMBAN,NEGERI SEMBILAN,67622278,67670021,,,,,"SMK DATO SHEIKH AHMAD, JALAN TUNKU KURSHIAH, 70400, SEREMBAN, NEGERI SEMBILAN"
NEB4137,6011,Menengah,PPD SEREMBAN,SM DATUK ABDUL RAZAK (SMBP),JALAN RANTAU SUNGAI GADUT,71450,SEREMBAN,NEGERI SEMBILAN,66770806,66781790,,,,,"SM DATUK ABDUL RAZAK (SMBP), JALAN RANTAU SUNGAI GADUT, 71450, SEREMBAN, NEGERI SEMBILAN"
NEB6001,6012,Menengah,PPD JEMPOL/JELEBU,SMK CHI WEN,JALAN RAJA MUDA SERTING,72100,BAHAU,NEGERI SEMBILAN,64541278,64545868,,,,,"SMK CHI WEN, JALAN RAJA MUDA SERTING, 72100, BAHAU, NEGERI SEMBILAN"
NEE0028,6013,Menengah,PPD JEMPOL/JELEBU,SMK TERIANG HILIR,KM 1 JALAN SUNGAI BULOH,72400,SIMPANG DURIAN,NEGERI SEMBILAN,64914411,64914879,,,,,"SMK TERIANG HILIR, KM 1 JALAN SUNGAI BULOH, 72400, SIMPANG DURIAN, NEGERI SEMBILAN"
NEE1086,6014,Menengah,PPD KUALA PILAH,SMK TUNKU BESAR BURHANUDDIN,JALAN KELAB GOLF DIRAJA SERI MENANTI,71550,SERI MENANTI,NEGERI SEMBILAN,64979005,64970418,,,,,"SMK TUNKU BESAR BURHANUDDIN, JALAN KELAB GOLF DIRAJA SERI MENANTI, 71550, SERI MENANTI, NEGERI SEMBILAN"
NEE1087,6015,Menengah,PPD KUALA PILAH,SMK DATO' ABDUL SAMAD,KM 30 JALAN SEREMBAN-KUALA PILAH,71500,TANJONG IPOH,NEGERI SEMBILAN,64887252,64889645,,,,,"SMK DATO' ABDUL SAMAD, KM 30 JALAN SEREMBAN-KUALA PILAH, 71500, TANJONG IPOH, NEGERI SEMBILAN"
NEE1088,6016,Menengah,PPD KUALA PILAH,SMK DATUK UNDANG ABDUL MANAP,KM 3, PEKAN JOHOL,73100,JOHOL,NEGERI SEMBILAN,64367216,64369699,,,,"SMK DATUK UNDANG ABDUL MANAP, KM 3,  PEKAN JOHOL, 73100, JOHOL"
NEE1098,6017,Menengah,PPD KUALA PILAH,SEK (SAINS) TUANKU JAAFAR,JALAN KAMPUNG GENTAM.,72000,KUALA PILAH,NEGERI SEMBILAN,64811304,64817137,,,,,"SEK (SAINS) TUANKU JAAFAR, JALAN KAMPUNG GENTAM., 72000, KUALA PILAH, NEGERI SEMBILAN"
NEE2057,6018,Menengah,PPD PORT DICKSON,SMK DATUK MUHAMMAD YUSOF,KM2, JALAN SEREMBAN,71150,LINGGI,NEGERI SEMBILAN,66970251,66970251,,,,"SMK DATUK MUHAMMAD YUSOF, KM2,  JALAN SEREMBAN, 71150, LINGGI"
NEE2064,6019,Menengah,PPD PORT DICKSON,SMK PASIR PANJANG,BT 17, JLN PANTAI,71250,PASIR PANJANG,NEGERI SEMBILAN,66619027,66610780,,,,"SMK PASIR PANJANG, BT 17,  JLN PANTAI, 71250, PASIR PANJANG"
NEE2065,6020,Menengah,PPD PORT DICKSON,SMK TANAH MERAH,KM 8, JALAN SEPANG, POS BUKIT PELANDUK.,71960,PORT DICKSON,NEGERI SEMBILAN,66581570,66581101,,,"SMK TANAH MERAH, KM 8,  JALAN SEPANG,  POS BUKIT PELANDUK., 71960"
NEE2068,6021,Menengah,PPD PORT DICKSON,SMK BUKIT SAUJANA,KM7, JALAN PANTAI, BAGAN PINANG,71050,PORT DICKSON,NEGERI SEMBILAN,66471598,66464786,,,"SMK BUKIT SAUJANA, KM7,  JALAN PANTAI,  BAGAN PINANG, 71050"
NEE3037,6022,Menengah,PPD REMBAU,SMK DATUK ABDULLAH,ASTANA RAJA,,71350,KOTA,NEGERI SEMBILAN,64382577,64384792,,,,"SMK DATUK ABDULLAH, ASTANA RAJA, 71350, KOTA"
NEE4098,6023,Menengah,PPD SEREMBAN,SMK DATO' KLANA PUTRA,BT 14, JALAN BESAR LENGGENG,71750,LENGGENG,NEGERI SEMBILAN,387667769,387669435,,,,"SMK DATO' KLANA PUTRA, BT 14,  JALAN BESAR LENGGENG, 71750, LENGGENG"
NEE4099,6024,Menengah,PPD SEREMBAN,SMK RANTAU,KM 11, JLN LINSUM,71200,SEREMBAN,NEGERI SEMBILAN,66941269,66943639,,,,"SMK RANTAU, KM 11,  JLN LINSUM, 71200, SEREMBAN"
NEE4100,6025,Menengah,PPD SEREMBAN,SMK DATO' MOHD SAID,PEKAN NILAI,71800,NILAI,NEGERI SEMBILAN,67991213,67990839,,,,,"SMK DATO' MOHD SAID, PEKAN NILAI, 71800, NILAI, NEGERI SEMBILAN"
NEE4101,6026,Menengah,PPD SEREMBAN,SMK MANTIN,BATU 10, JALAN BESAR MANTIN,71700,MANTIN,NEGERI SEMBILAN,67581251,67585323,,,,"SMK MANTIN, BATU 10,  JALAN BESAR MANTIN, 71700, MANTIN"
NEE4102,6027,Menengah,PPD SEREMBAN,SMK (FELDA) SERI SENDAYAN,JALAN BESAR, FELDA SENDAYAN,71950,SEREMBAN,NEGERI SEMBILAN,67922569,67922734,,,,"SMK (FELDA) SERI SENDAYAN, JALAN BESAR,  FELDA SENDAYAN, 71950, SEREMBAN"
NEE5037,6028,Menengah,PPD TAMPIN,SMK TUNKU BESAR,KM 2 JALAN SEREMBAN,73000,TAMPIN,NEGERI SEMBILAN,64415425,64412941,,,,,"SMK TUNKU BESAR, KM 2 JALAN SEREMBAN, 73000, TAMPIN, NEGERI SEMBILAN"
NEE5038,6029,Menengah,PPD TAMPIN,SMK TUANKU ABDUL RAHMAN,JALAN TOK SULONG,73400,GEMAS,NEGERI SEMBILAN,79481055,79485792,,,,,"SMK TUANKU ABDUL RAHMAN, JALAN TOK SULONG, 73400, GEMAS, NEGERI SEMBILAN"
NEE5039,6030,Menengah,PPD TAMPIN,SMK BUKIT JALOR,JALAN AIR KUNING,73200,GEMENCHEH,NEGERI SEMBILAN,64479305,64479305,,,,,"SMK BUKIT JALOR, JALAN AIR KUNING, 73200, GEMENCHEH, NEGERI SEMBILAN"
NEE5040,6031,Menengah,PPD TAMPIN,SMK DATO' MOHD TAHA,KM 28, JALAN TAMPIN GEMAS,73200,GEMENCHEH,NEGERI SEMBILAN,64316544,64319188,,,,"SMK DATO' MOHD TAHA, KM 28,  JALAN TAMPIN GEMAS, 73200, GEMENCHEH"
NEE6001,6032,Menengah,PPD JEMPOL/JELEBU,SMK DATUK MANSOR,KM4, JALAN JUASSEH,,72100,BAHAU,NEGERI SEMBILAN,64541121,64540637,,,"SMK DATUK MANSOR, KM4,  JALAN JUASSEH, 72100"
NEE6002,6033,Menengah,PPD JEMPOL/JELEBU,SMK BATU KIKIR,BATU KIKIR,,72200,BATU KIKIR,NEGERI SEMBILAN,64981393,64982620,,,,"SMK BATU KIKIR, BATU KIKIR, 72200, BATU KIKIR"
NFT0001,6034,Menengah,PPD JEMPOL/JELEBU,SM RENDAH AGAMA KUALA KLAWANG,JLN MASJID LAMA,71600,KUALA KLAWANG,NEGERI SEMBILAN,66138523,66136859,,,,,"SM RENDAH AGAMA KUALA KLAWANG, JLN MASJID LAMA, 71600, KUALA KLAWANG, NEGERI SEMBILAN"
NFT0002,6035,Menengah,PPD JEMPOL/JELEBU,SM AGAMA DATO' HAJI TAN AHMAD,KAMPUNG SIMPANG DURIAN,72400,SIMPANG DURIAN,NEGERI SEMBILAN,64914680,64915073,,,,,"SM AGAMA DATO' HAJI TAN AHMAD, KAMPUNG SIMPANG DURIAN, 72400, SIMPANG DURIAN, NEGERI SEMBILAN"
NFT1001,6036,Menengah,PPD KUALA PILAH,SM RENDAH AGAMA  JOHOL,KAMPUNG PASIT JLN TAMPIN KUALA PILAH,73100,JOHOL,NEGERI SEMBILAN,64367973,64368490,,,,,"SM RENDAH AGAMA  JOHOL, KAMPUNG PASIT JLN TAMPIN KUALA PILAH, 73100, JOHOL, NEGERI SEMBILAN"
NFT1002,6037,Menengah,PPD KUALA PILAH,SM RENDAH AGAMA ULU JEMPOL,BATU KIKIR,72200,KUALA PILAH,NEGERI SEMBILAN,06-4983115,06-4982345,,,,,"SM RENDAH AGAMA ULU JEMPOL, BATU KIKIR, 72200, KUALA PILAH, NEGERI SEMBILAN"
NFT1003,6038,Menengah,PPD KUALA PILAH,SEKOLAH MENENGAH AGAMA SAINS KUALA PILAH,KUALA PILAH,73100,JOHOL,NEGERI SEMBILAN,64367510,,,,,,"SEKOLAH MENENGAH AGAMA SAINS KUALA PILAH, KUALA PILAH, 73100, JOHOL, NEGERI SEMBILAN"
NFT2001,6039,Menengah,PPD PORT DICKSON,SM RENDAH AGAMA CHUAH,KM 25, JALAN PORT DICKSON - SG NIPAH,71960,PORT DICKSON,NEGERI SEMBILAN,66581701,66581701,,,,"SM RENDAH AGAMA CHUAH, KM 25,  JALAN PORT DICKSON - SG NIPAH, 71960, PORT DICKSON"
NFT2002,6040,Menengah,PPD PORT DICKSON,SM AGAMA TELOK KEMANG,BATU 9,71050,SI RUSA, PORT DICKSON,NEGERI SEMBILAN,66625366,66627149,,,,"SM AGAMA TELOK KEMANG, BATU 9, 71050, SI RUSA,  PORT DICKSON"
NFT3001,6041,Menengah,PPD REMBAU,SM AGAMA HAJI MOHD.YATIM,71350 KOTA NEGERI SEMBILAN,71350,KOTA,NEGERI SEMBILAN,64381411,64383025,,,,,"SM AGAMA HAJI MOHD.YATIM, 71350 KOTA NEGERI SEMBILAN, 71350, KOTA, NEGERI SEMBILAN"
NFT3002,6042,Menengah,PPD REMBAU,SEKOLAH MENENGAH AGAMA REMBAU,JALAN DATO' SEDIA RAJA,71300,REMBAU,NEGERI SEMBILAN,66852404,66853670,,,,,"SEKOLAH MENENGAH AGAMA REMBAU, JALAN DATO' SEDIA RAJA, 71300, REMBAU, NEGERI SEMBILAN"
NFT4001,6043,Menengah,PPD SEREMBAN,SEKOLAH MENENGAH AGAMA RANTAU,KUALA SAWAH,71200,RANTAU,NEGERI SEMBILAN,66943626,66946277,,,,,"SEKOLAH MENENGAH AGAMA RANTAU, KUALA SAWAH, 71200, RANTAU, NEGERI SEMBILAN"
NFT4002,6044,Menengah,PPD SEREMBAN,SM AGAMA NILAI,LOT 7258,71800,NILAI,NEGERI SEMBILAN,67991826,67996931,,,,,"SM AGAMA NILAI, LOT 7258, 71800, NILAI, NEGERI SEMBILAN"
NFT4003,6045,Menengah,PPD SEREMBAN,SM AGAMA DATO' KLANA PETRA MAAMOR,KM 5, JALAN KUALA PILAH, AMPANGAN,,70400,SEREMBAN,NEGERI SEMBILAN,67639361,67613421,,"SM AGAMA DATO' KLANA PETRA MAAMOR, KM 5,  JALAN KUALA PILAH,  AMPANGAN, "
NFT5001,6046,Menengah,PPD TAMPIN,SEKOLAH MENENGAH AGAMA REPAH,KM4 JLN TAMPIN -GEMAS,73000,TAMPIN,NEGERI SEMBILAN,64414750,64415023,,,,,"SEKOLAH MENENGAH AGAMA REPAH, KM4 JLN TAMPIN -GEMAS, 73000, TAMPIN, NEGERI SEMBILAN"
NFT5002,6047,Menengah,PPD TAMPIN,SM RENDAH AGAMA GEMAS,JALAN BATU ANAM,73400,GEMAS,NEGERI SEMBILAN,79482031,79482031,,,,,"SM RENDAH AGAMA GEMAS, JALAN BATU ANAM, 73400, GEMAS, NEGERI SEMBILAN"
NFT6001,6048,Menengah,PPD JEMPOL/JELEBU,SEKOLAH MENENGAH AGAMA HAJI MUHAMAD,LOT 3222 KAMPUNG JAMBU LAPAN,72100,BAHAU,NEGERI SEMBILAN,64545432,64540168,,,,,"SEKOLAH MENENGAH AGAMA HAJI MUHAMAD, LOT 3222 KAMPUNG JAMBU LAPAN, 72100, BAHAU, NEGERI SEMBILAN"
NFT6002,6049,Menengah,PPD JEMPOL/JELEBU,SM AGAMA DATO' HAJI MUSTAFA,LOT 6348,72200,BATU KIKIR,NEGERI SEMBILAN,64981350,64981898,,,,,"SM AGAMA DATO' HAJI MUSTAFA, LOT 6348, 72200, BATU KIKIR, NEGERI SEMBILAN"
NHA0001,6050,Menengah,PPD JEMPOL/JELEBU,KOLEJ VOKASIONAL KUALA KLAWANG ,KM. 3, JALAN TITI,71600,KUALA KLAWANG,NEGERI SEMBILAN,66137463,66138015,,,,"KOLEJ VOKASIONAL KUALA KLAWANG , KM. 3,  JALAN TITI, 71600, KUALA KLAWANG"
NHA1001,6051,Menengah,PPD KUALA PILAH,KOLEJ VOKASIONAL JUASSEH ,JALAN BATU KIKIR,,72500,JUASSEH,NEGERI SEMBILAN,64981572,64981376,,,,"KOLEJ VOKASIONAL JUASSEH , JALAN BATU KIKIR, 72500, JUASSEH"
NHA2002,6052,Menengah,PPD PORT DICKSON,KOLEJ VOKASIONAL PORT DICKSON ,KM 5, JALAN SEREMBAN,71000,PORT DICKSON,NEGERI SEMBILAN,66512266,66510554,,,,"KOLEJ VOKASIONAL PORT DICKSON , KM 5,  JALAN SEREMBAN, 71000, PORT DICKSON"
NHA3001,6053,Menengah,PPD REMBAU,KOLEJ VOKASIONAL DATO' UNDANG HJ. MUHAMAD SHARIP,JALAN DATO' RAJA MOHD DOM,71300,REMBAU,NEGERI SEMBILAN,66851241,66857141,,,,,"KOLEJ VOKASIONAL DATO' UNDANG HJ. MUHAMAD SHARIP, JALAN DATO' RAJA MOHD DOM, 71300, REMBAU, NEGERI SEMBILAN"
NHA3002,6054,Menengah,PPD REMBAU,KOLEJ VOKASIONAL DATO LELA MAHARAJA,KM20, JALAN SEREMBAN TAMPIN, CHEMBONG,71300,REMBAU,NEGERI SEMBILAN,66851218,66858178,,,"KOLEJ VOKASIONAL DATO LELA MAHARAJA, KM20,  JALAN SEREMBAN TAMPIN,  CHEMBONG, 71300"
NHA4001,6055,Menengah,PPD SEREMBAN,KOLEJ VOKASIONAL AMPANGAN,KM 4 JALAN  SEREMBAN-KUALA PILAH, AMPANGAN,70400,SEREMBAN,NEGERI SEMBILAN,67624981,67642464,,,,"KOLEJ VOKASIONAL AMPANGAN, KM 4 JALAN  SEREMBAN-KUALA PILAH,  AMPANGAN, 70400, SEREMBAN"
NKE4144,6056,Menengah,PPD SEREMBAN,SMT TUANKU JAAFAR,KM 4 JALAN SEREMBAN-KUALA PILAH, AMPANGAN,70400,SEREMBAN,NEGERI SEMBILAN,67638307,67636985,,,,"SMT TUANKU JAAFAR, KM 4 JALAN SEREMBAN-KUALA PILAH,  AMPANGAN, 70400, SEREMBAN"
NRA3001,6057,Menengah,PPD REMBAU,SMK AGAMA DATO' HAJI ABU HASSAN HAJI SAIL,KILOMETER 1 JALAN SEPERI,71400,PEDAS,NEGERI SEMBILAN,66857162,66858160,,,,,"SMK AGAMA DATO' HAJI ABU HASSAN HAJI SAIL, KILOMETER 1 JALAN SEPERI, 71400, PEDAS, NEGERI SEMBILAN"
NRA4001,6058,Menengah,PPD SEREMBAN,SMKA SHEIKH HJ MOHD SAID,JALAN TUNKU KURSHIAH,70400,SEREMBAN,NEGERI SEMBILAN,67623778,67627276,,,,,"SMKA SHEIKH HJ MOHD SAID, JALAN TUNKU KURSHIAH, 70400, SEREMBAN, NEGERI SEMBILAN"
NRA4002,6059,Menengah,PPD SEREMBAN,SMA PERSEKUTUAN (SMBP),KM 11, JLN LABU,71900,LABU,NEGERI SEMBILAN,67912245,67912198,,,,"SMA PERSEKUTUAN (SMBP), KM 11,  JLN LABU, 71900, LABU"
NRA6001,6060,Menengah,PPD JEMPOL/JELEBU,SBP INTEGRASI JEMPOL,KM 1 JALAN BATU KIKIR,72200,BATU KIKIR,NEGERI SEMBILAN,64985978,64984167,,,,,"SBP INTEGRASI JEMPOL, KM 1 JALAN BATU KIKIR, 72200, BATU KIKIR, NEGERI SEMBILAN"
PBA0001,6061,Rendah,PPD SEBERANG PRAI TENGAH,SK ALMA,JALAN ALMA,14000,BUKIT MERTAJAM,PULAU PINANG,45525784,45513316,,,,,"SK ALMA, JALAN ALMA, 14000, BUKIT MERTAJAM, PULAU PINANG"
PBA0002,6062,Rendah,PPD SEBERANG PRAI TENGAH,SK BUKIT TEH,BUKIT TEH,14020,BUKIT MERTAJAM,PULAU PINANG,45511791,45511791,,,,,"SK BUKIT TEH, BUKIT TEH, 14020, BUKIT MERTAJAM, PULAU PINANG"
PBA0003,6063,Rendah,PPD SEBERANG PRAI TENGAH,SK GUAR PERAHU,GUAR PERAHU,  KUBANG SEMANG,14400,BUKIT MERTAJAM,PULAU PINANG,45213271,45222518,,,,"SK GUAR PERAHU, GUAR PERAHU,   KUBANG SEMANG, 14400, BUKIT MERTAJAM"
PBA0005,6064,Rendah,PPD SEBERANG PRAI TENGAH,SK JALAN BAHARU, PERAI,JALAN BARU,13700,PERAI,PULAU PINANG,43901007,43995673,,,,"SK JALAN BAHARU,  PERAI, JALAN BARU, 13700, PERAI"
PBA0006,6065,Rendah,PPD SEBERANG PRAI TENGAH,SK JUARA,CHEROK TO' KUN,14000,BUKIT MERTAJAM,PULAU PINANG,45392976,45372976,,,,,"SK JUARA, CHEROK TO' KUN, 14000, BUKIT MERTAJAM, PULAU PINANG"
PBA0007,6066,Rendah,PPD SEBERANG PRAI TENGAH,SK JURU,SIMPANG AMPAT,14100,SIMPANG AMPAT,PULAU PINANG,45073904,45073904,,,,,"SK JURU, SIMPANG AMPAT, 14100, SIMPANG AMPAT, PULAU PINANG"
PBA0008,6067,Rendah,PPD SEBERANG PRAI TENGAH,SK KEBUN SIREH,JALAN KEBUN SIREH,14000,BUKIT MERTAJAM,PULAU PINANG,45077995,45084022,,,,,"SK KEBUN SIREH, JALAN KEBUN SIREH, 14000, BUKIT MERTAJAM, PULAU PINANG"
PBA0009,6068,Rendah,PPD SEBERANG PRAI TENGAH,SK KHIR JOHARI,JALAN PERAI,13600,PERAI,PULAU PINANG,43901178,43901178,,,,,"SK KHIR JOHARI, JALAN PERAI, 13600, PERAI, PULAU PINANG"
PBA0010,6069,Rendah,PPD SEBERANG PRAI TENGAH,SK MACANG BUBOK,JALAN GAJAH MATI, MACHANG BUBOK,,14020,BUKIT MERTAJAM,PULAU PINANG,45512771,45512771,,,"SK MACANG BUBOK, JALAN GAJAH MATI,  MACHANG BUBOK, 14020"
PBA0011,6070,Rendah,PPD SEBERANG PRAI TENGAH,SK MENGKUANG,BUKIT MERTAJAM,14000,BUKIT MERTAJAM,PULAU PINANG,45215422,45215422,,,,,"SK MENGKUANG, BUKIT MERTAJAM, 14000, BUKIT MERTAJAM, PULAU PINANG"
PBA0012,6071,Rendah,PPD SEBERANG PRAI TENGAH,SK PERMATANG PASIR,PERMATANG PAUH,13500,BUKIT MERTAJAM,PULAU PINANG,43906848,43906848,,,,,"SK PERMATANG PASIR, PERMATANG PAUH, 13500, BUKIT MERTAJAM, PULAU PINANG"
PBA0013,6072,Rendah,PPD SEBERANG PRAI TENGAH,SK PERMATANG PAUH,PERMATANG PAUH,13500,PERMATANG PAUH,PULAU PINANG,43905103,43981593,,,,,"SK PERMATANG PAUH, PERMATANG PAUH, 13500, PERMATANG PAUH, PULAU PINANG"
PBA0014,6073,Rendah,PPD SEBERANG PRAI TENGAH,SK PERMATANG TOK KANDU,PERMATANG PAUH,13500,BUKIT MERTAJAM,PULAU PINANG,43906516,43984803,,,,,"SK PERMATANG TOK KANDU, PERMATANG PAUH, 13500, BUKIT MERTAJAM, PULAU PINANG"
PBA0015,6074,Rendah,PPD SEBERANG PRAI TENGAH,SK SERI PENANTI,KUBANG SEMANG,14400,BUKIT MERTAJAM,PULAU PINANG,45213245,45213245,,,,,"SK SERI PENANTI, KUBANG SEMANG, 14400, BUKIT MERTAJAM, PULAU PINANG"
PBA0016,6075,Rendah,PPD SEBERANG PRAI TENGAH,SK SUNGAI RAMBAI,JALAN MANGGIS,14000,BUKIT MERTAJAM,PULAU PINANG,45395105,45395105,,,,,"SK SUNGAI RAMBAI, JALAN MANGGIS, 14000, BUKIT MERTAJAM, PULAU PINANG"
PBA0017,6076,Rendah,PPD SEBERANG PRAI TENGAH,SK TANAH LIAT,,14000,BUKIT MERTAJAM,PULAU PINANG,45386675,45386675,,,,,"SK TANAH LIAT, 14000, BUKIT MERTAJAM, PULAU PINANG"
PBA0018,6077,Rendah,PPD SEBERANG PRAI TENGAH,SK SEBERANG JAYA,PERSIARAN SIAKAP, SEBERANG JAYA,13700,PERAI,PULAU PINANG,43990730,43985022,,,,"SK SEBERANG JAYA, PERSIARAN SIAKAP,  SEBERANG JAYA, 13700, PERAI"
PBA0019,6078,Rendah,PPD SEBERANG PRAI TENGAH,SK SEBERANG JAYA 2,LENGKOK TENGGIRI, BANDAR SEB JAYA,,13700,PERAI,PULAU PINANG,43906690,43904632,,,"SK SEBERANG JAYA 2, LENGKOK TENGGIRI,  BANDAR SEB JAYA, 13700"
PBA0020,6079,Rendah,PPD SEBERANG PRAI TENGAH,SK TAMAN INDERAWASIH,TINGKAT KIKIK 2, TAMAN INDERAWASIH,13600,PERAI,PULAU PINANG,43973570,43973570,,,,"SK TAMAN INDERAWASIH, TINGKAT KIKIK 2,  TAMAN INDERAWASIH, 13600, PERAI"
PBA0021,6080,Rendah,PPD SEBERANG PRAI TENGAH,SK BUKIT INDERA MUDA,KUBANG SEMANG,14400,BUKIT MERTAJAM,PULAU PINANG,45213029,45213029,,,,,"SK BUKIT INDERA MUDA, KUBANG SEMANG, 14400, BUKIT MERTAJAM, PULAU PINANG"
PBA0022,6081,Rendah,PPD SEBERANG PRAI TENGAH,SK BUKIT MINYAK,JALAN BUKIT MINYAK,14000,BUKIT MERTAJAM,PULAU PINANG,45078057,45080239,,,,,"SK BUKIT MINYAK, JALAN BUKIT MINYAK, 14000, BUKIT MERTAJAM, PULAU PINANG"
PBA0023,6082,Rendah,PPD SEBERANG PRAI TENGAH,SK ALMA JAYA,ALMA,,14000,BUKIT MERTAJAM,PULAU PINANG,45512122,45512122,,,,"SK ALMA JAYA, ALMA, 14000, BUKIT MERTAJAM"
PBA0024,6083,Rendah,PPD SEBERANG PRAI TENGAH,SRPK ALMA (PENGLIHATAN),JALAN BUKIT MINYAK,14000,BUKIT MERTAJAM,PULAU PINANG,45082026,45071439,,,,,"SRPK ALMA (PENGLIHATAN), JALAN BUKIT MINYAK, 14000, BUKIT MERTAJAM, PULAU PINANG"
PBA0025,6084,Rendah,PPD SEBERANG PRAI TENGAH,SK SERI IMPIAN,JALAN GUAR PERAHU, KUBANG SEMANG,14400,BUKIT MERTAJAM,PULAU PINANG,45224158,45224158,,,,"SK SERI IMPIAN, JALAN GUAR PERAHU,  KUBANG SEMANG, 14400, BUKIT MERTAJAM"
PBA0026,6085,Rendah,PPD SEBERANG PRAI TENGAH,SK BANDAR BARU PERDA,BANDAR BARU PERDA,14000,BUKIT MERTAJAM,PULAU PINANG,45306039,45306040,,,,,"SK BANDAR BARU PERDA, BANDAR BARU PERDA, 14000, BUKIT MERTAJAM, PULAU PINANG"
PBA0027,6086,Rendah,PPD SEBERANG PRAI TENGAH,SK PAUH JAYA,PAUH JAYA,,13500,PERMATANG PAUH,PULAU PINANG,43976139,43976139,,,,"SK PAUH JAYA, PAUH JAYA, 13500, PERMATANG PAUH"
PBA0028,6087,Rendah,PPD SEBERANG PRAI TENGAH,SK PERMAI INDAH,BUKIT MINYAK,14000,BUKIT MERTAJAM,PULAU PINANG,45023357,45023358,,,,,"SK PERMAI INDAH, BUKIT MINYAK, 14000, BUKIT MERTAJAM, PULAU PINANG"
