Negeri,PPD,KodSekolah,NamaSekolah,L,P,J
SELANGOR,PPD HULU SELANGOR,BBC5037,SJK(C) SERENDAH,210,227,437
SELANGOR,PPD HULU SELANGOR,BBD5041,SJK(T) LADANG BATANG KALI,167,152,319
SELANGOR,PPD HULU SELANGOR,BBD5043,SJK(T) LDG CHANGKAT ASA,19,18,37
SELANGOR,PPD HULU SELANGOR,BBD5044,SJK(T) LDG ESCOT,18,23,41
SELANGOR,PPD HULU SELANGOR,BBD5045,SJK(T) KUALA KUBU BHARU,188,180,368
SELANGOR,PPD HULU SELANGOR,BBD5047,SJK(T) LADANG KERLING,31,23,54
SELANGOR,PPD HULU SELANGOR,BBD5048,SJK(T) LADANG KALUMPANG,52,49,101
SELANGOR,PPD HULU SELANGOR,BBD5051,SJK(T) LDG LIMA BELAS,8,3,11
SELANGOR,PPD HULU SELANGOR,BBD5058,SJK(T) LDG SG CHOH,254,240,494
SELANGOR,PPD HULU SELANGOR,BBD5059,SJK(T) BUKIT BERUNTUNG,200,191,391
SELANGOR,PPD HULU SELANGOR,BEA5061,SMK KUALA KUBU BHARU,508,609,1117
SELANGOR,PPD HULU SELANGOR,BEA5062,SMK KAMPONG SOEHARTO,252,259,511
SELANGOR,PPD HULU SELANGOR,BEA5063,SMK SUNGAI CHOH,371,432,803
SELANGOR,PPD HULU SELANGOR,BEA5064,SMK KALUMPANG,305,295,600
SELANGOR,PPD HULU SELANGOR,BEA5065,SMK GEDANGSA,129,123,252
SELANGOR,PPD HULU SELANGOR,BEA5066,SMK BUKIT SENTOSA,1081,1089,2170
SELANGOR,PPD HULU SELANGOR,BEA5067,SM SAINS HULU SELANGOR,389,411,800
SELANGOR,PPD HULU SELANGOR,BEA5068,SMK AMPANG PECAH,478,487,965
SELANGOR,PPD HULU SELANGOR,BEA5069,SMK BANDAR BARU BATANG KALI,883,865,1748
SELANGOR,PPD HULU SELANGOR,BEA5070,SMK BANDAR SUNGAI BUAYA,510,524,1034
SELANGOR,PPD HULU SELANGOR,BEA5071,SMK TAMAN BUNGA RAYA (1),933,928,1861
SELANGOR,PPD HULU SELANGOR,BEA5072,SMK SERENDAH,924,827,1751
SELANGOR,PPD HULU SELANGOR,BEA5073,SMK BUKIT SENTOSA 2,935,932,1867
SELANGOR,PPD HULU SELANGOR,BEB5065,SMK SYED MASHOR,922,943,1865
SELANGOR,PPD HULU SELANGOR,BEB5066,SMK DATO' HJ KAMARUDDIN,396,372,768
SELANGOR,PPD HULU SELANGOR,BFT5001,SAM SUNGAI SELISEK,147,183,330
SELANGOR,PPD HULU SELANGOR,BFT5002,SAMT KUALA KUBU BHARU,428,493,921
SELANGOR,PPD KLANG,BBA0001,SK KLANG,325,317,642
SELANGOR,PPD KLANG,BBA0002,SK TELOK GADONG,642,590,1232
SELANGOR,PPD KLANG,BBA0003,SK PELABUHAN KELANG,393,369,762
SELANGOR,PPD KLANG,BBA0004,SK TELOK MENEGON,713,680,1393
SELANGOR,PPD KLANG,BBA0005,SK BUKIT NAGA,941,897,1838
SELANGOR,PPD KLANG,BBA0006,SK JALAN KEBUN,1063,934,1997
SELANGOR,PPD KLANG,BBA0007,SK BATU BELAH,790,787,1577
