Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,CountOfKPUtama,TOTAL_STUDENT,RATIO_STUDENT_RATIO,Lat,Lng
1152,Rendah,PPD KUALA LANGAT,BBA1013,SK SUNGAI JUDAH,KAMPUNG SUNGAI JUDAH,42960,PULAU CAREY,SELANGOR,0331032758,TIADA,18,158,8.777777778,2.8213219,101.3658004
1153,Rendah,PPD KUALA LANGAT,BBA1014,SK BUKIT TADOM,SK BUKIT TADOM (A),42700,BANTING,SELANGOR,0331491128,0331491128,15,92,6.133333333,2.812098,101.5025551
1154,Rendah,PPD KUALA LANGAT,BBA1015,SK SERI CHEDING,KG. SERI CHEDING,42700,BANTING,SELANGOR,0331911413,0331911413,31,332,10.70967742,2.812098,101.5025551
1155,Rendah,PPD KUALA LANGAT,BBA1016,SK (ASLI) BKT CHEDING,SK BUKIT CHEDING,42700,BANTING,SELANGOR,0331916158,0331916158,21,142,6.761904762,2.812098,101.5025551
1156,Rendah,PPD KUALA LANGAT,BBA1023,SK TG SEPAT,JALAN SEKOLAH KG TG SEPAT,42800,TANJONG SEPAT,SELANGOR,0331975839,0331973297,43,576,13.39534884,2.7023274,101.5475409
1157,Rendah,PPD KUALA LANGAT,BBA1024,SK BATU LAUT,TANJONG SEPAT,42800,TANJONG SEPAT,SELANGOR,0331481066,0331481066,40,424,10.6,2.7023274,101.5475409
1158,Rendah,PPD KUALA LANGAT,BBA1025,SK KAMPONG ENDAH,KAMPONG ENDAH,42700,BANTING,SELANGOR,0331982930,0331982930,28,305,10.89285714,2.812098,101.5025551
1159,Rendah,PPD KUALA LANGAT,BBA1026,SK MORIB,JALAN MORIB,42700,BANTING,SELANGOR,0331982394,0331982394,38,274,7.210526316,2.751226,101.4436451
1160,Rendah,PPD KUALA LANGAT,BBA1027,SK KANCHONG DARAT,"JALAN SULTAN ALAM SHAH, KANCHONG DARAT",42700,BANTING,SELANGOR,0331871424,0331875054,69,1117,16.1884058,2.7874863,101.4828681
1161,Rendah,PPD KUALA LANGAT,BBA1028,SK SG LANG,SUNGAI LANG,42700,BANTING,SELANGOR,0331877744,0331802322,33,477,14.45454545,2.812098,101.5025551
1162,Rendah,PPD KUALA LANGAT,BBA1029,SK SERI LANANG,KG. KELANANG,42700,BANTING,SELANGOR,0331201340,0331201340,33,392,11.87878788,2.799646,101.4431782
1163,Rendah,PPD KUALA LANGAT,BBA1030,SK PERMATANG PASIR,PERMATANG PASIR,42700,BANTING,SELANGOR,0331203199,0331203199,19,159,8.368421053,2.838938,101.4362888
1164,Rendah,PPD KUALA LANGAT,BBA1031,SK SG KELAMBU,KG SUNGAI KELAMBU,42700,BANTING,SELANGOR,0331816012,0331816012,28,263,9.392857143,2.812098,101.5025551
1165,Rendah,PPD KUALA LANGAT,BBA1032,SK KAMPUNG MEDAN,BATU 9 KAMPUNG MEDAN TELOK PANGLIMA GARANG,42500,BANTING,SELANGOR,0331228721,0331229690,59,827,14.01694915,2.812098,101.5025551
1166,Rendah,PPD KUALA LANGAT,BBA1033,SK JALAN TANJUNG,BATU 9 KG SIJANGKANG,42500,TLK. P. GARANG,SELANGOR,0331221702,0331227984,53,818,15.43396226,0,0
1167,Rendah,PPD KUALA LANGAT,BBA1034,SK KANCHONG TENGAH,KG. KANCHONG TENGAH,42700,BANTING,SELANGOR,0331812104,0331812104,20,184,9.2,2.812098,101.5025551
1168,Rendah,PPD KUALA LANGAT,BBA1035,SK SIJANGKANG JAYA,TELOK PANGLIMA GARANG,42500,TELOK PANGLIMA GARANG,SELANGOR,0331227676,0331227741,61,696,11.40983607,2.9121341,101.4637294
1169,Rendah,PPD KUALA LANGAT,BBA1036,SK RTB BUKIT CHANGGANG,"RANCANGAN TANAH BELIA, BUKIT CHANGGANG,",42700,BANTING,SELANGOR,0331491651,0331491651,63,1073,17.03174603,0,0
1170,Rendah,PPD KUALA LANGAT,BBA1037,SK JUGRA,JALAN SULTAN ABDUL SAMAD,42700,BANTING,SELANGOR,0331851303,0331850475,67,946,14.11940299,2.8191425,101.4486363
1171,Rendah,PPD KUALA LANGAT,BBA1038,SK BANDAR BANTING,PERSIARAN MAJLIS,42700,BANTING,SELANGOR,0331876866,0331818334,56,802,14.32142857,2.8028856,101.498365
1172,Rendah,PPD KUALA LANGAT,BBA1039,SK (ASLI) BUKIT KEMANDOL,"JALAN DESA KEMANDOL 1, TAMAN DESA KEMANDOL",42610,JENJAROM,SELANGOR,0333631323,,25,198,7.92,2.875778,101.4984569
1173,Rendah,PPD KUALA SELANGOR,BBA3001,SK ASSAM JAWA (INTEG),"KM 38.4, JALAN KLANG KUALA SELANGOR",45700,BUKIT ROTAN,SELANGOR,0332893976,60332893976,51,746,14.62745098,3.309522,101.3171332
1174,Rendah,PPD KUALA SELANGOR,BBA3002,SK BKT BADONG,"BATU 3, KAMPUNG BUKIT BADONG",45600,BESTARI JAYA,SELANGOR,0332791342,0332791342,60,916,15.26666667,0,0
1175,Rendah,PPD KUALA SELANGOR,BBA3003,SK BKT KERAYONG,"JALAN SEKOLAH, KG. BUKIT KERAYONG 1,",42200,KAPAR,SELANGOR,0333927168,0333927168,30,428,14.26666667,0,0
1176,Rendah,PPD KUALA SELANGOR,BBA3004,SK DATO' MAHARAJA LELA,"JALAN PARIT OMAR, KAMPUNG BUKIT CHERAKA",45800,JERAM,SELANGOR,0332648530,0332648530,103,1660,16.11650485,5.4162684,100.3148412
1177,Rendah,PPD KUALA SELANGOR,BBA3005,SK TAMBAK JAWA,"KILOMETER 26, JERAM",45800,JERAM,SELANGOR,0332508446,0332508446,32,358,11.1875,3.232016,101.316218
1178,Rendah,PPD KUALA SELANGOR,BBA3006,SK JERAM,JALAN SIMPANG TIGA,45800,JERAM,SELANGOR,0332647773,0332647773,30,376,12.53333333,3.2252803,101.3559512
1179,Rendah,PPD KUALA SELANGOR,BBA3007,SK JERAM BT 20,BATU 20,45800,JERAM,SELANGOR,0332647320,0332640471,58,624,10.75862069,3.232016,101.316218
1180,Rendah,PPD KUALA SELANGOR,BBA3008,SK JAYA SETIA,JALAN BESAR,45600,BESTARI JAYA,SELANGOR,0332716253,0332716253,27,272,10.07407407,3.3328617,101.3658004
1181,Rendah,PPD KUALA SELANGOR,BBA3009,SK PASANGAN,"JALAN RAWANG, KG. KUANTAN",45600,BESTARI JAYA,SELANGOR,0332893476,0332893476,20,162,8.1,0,0
1182,Rendah,PPD KUALA SELANGOR,BBA3010,SK RANTAU PANJANG,"KM 34, JALAN RAWANG, RANTAU PANJANG",45600,BESTARI JAYA,SELANGOR,0332710330,0332710330,33,388,11.75757576,0,0
1183,Rendah,PPD KUALA SELANGOR,BBA3011,SK IJOK,"BATU 7, IJOK",45600,BESTARI JAYA,SELANGOR,0332791277,0332791277,35,500,14.28571429,0,0
1184,Rendah,PPD KUALA SELANGOR,BBA3012,SK TANJUNG KERAMAT,JALAN KERAMAT TANJUNG,45000,KUALA SELANGOR,SELANGOR,0332891733,0332891733,25,225,9,3.340184,101.249762
1185,Rendah,PPD KUALA SELANGOR,BBA3013,SK BKT BELIMBING,"JALAN RAJA MUSA , KG. BUKIT BELIMBING",45000,KUALA SELANGOR,SELANGOR,0332896787,0332896787,24,273,11.375,0,0
1186,Rendah,PPD KUALA SELANGOR,BBA3014,SK KUALA SELANGOR,"SIMPANG 4, KAMPONG PERMATANG",45000,KUALA SELANGOR,SELANGOR,0332898152,0332898152,34,362,10.64705882,0,0
1187,Rendah,PPD KUALA SELANGOR,BBA3015,SK TANJONG KARANG,BATU 7,45500,TANJONG KARANG,SELANGOR,0332695866,0332695866,45,566,12.57777778,3.426409,101.1767141
